data_type,material_type,year,month,type,month_usage_by_type,month_sum_all_types,year_sum_by_type
Pounds of Materials Used,Grain Products,2010,12,Wheat and wheat products,1588739,452298472,22162591
Pounds of Materials Used,Non-Grain Products,2010,12,Sugar and syrups,49709103,452298472,769069238
Pounds of Materials Used,Non-Grain Products,2010,12,Hops (dry),6540100,452298472,90857470
Pounds of Materials Used,Non-Grain Products,2010,12,Hops (used as extracts),255382,452298472,4288532
Pounds of Materials Used,Grain Products,2011,1,Malt and malt products,322480722,575290204,4003433125
Pounds of Materials Used,Grain Products,2011,1,Corn and corn products,58632672,575290204,628920326
Pounds of Materials Used,Grain Products,2011,1,Rice and rice products,108112318,575290204,747530033
Pounds of Materials Used,Grain Products,2011,1,Barley and barley products,4705175,575290204,110948162
Pounds of Materials Used,Grain Products,2011,1,Wheat and wheat products,1210137,575290204,23029222
Pounds of Materials Used,Non-Grain Products,2011,1,Sugar and syrups,73793509,575290204,770916505
Pounds of Materials Used,Non-Grain Products,2011,1,Hops (dry),6059066,575290204,106888010
Pounds of Materials Used,Non-Grain Products,2011,1,Hops (used as extracts),296605,575290204,3823534
Pounds of Materials Used,Grain Products,2011,2,Malt and malt products,307076591,491892902,4003433125
Pounds of Materials Used,Grain Products,2011,2,Corn and corn products,53981943,491892902,628920326
Pounds of Materials Used,Grain Products,2011,2,Rice and rice products,54287863,491892902,747530033
Pounds of Materials Used,Grain Products,2011,2,Barley and barley products,4322047,491892902,110948162
Pounds of Materials Used,Grain Products,2011,2,Wheat and wheat products,955671,491892902,23029222
Pounds of Materials Used,Non-Grain Products,2011,2,Sugar and syrups,63374850,491892902,770916505
Pounds of Materials Used,Non-Grain Products,2011,2,Hops (dry),7617974,491892902,106888010
Pounds of Materials Used,Non-Grain Products,2011,2,Hops (used as extracts),275963,491892902,3823534
Pounds of Materials Used,Grain Products,2011,3,Malt and malt products,363234183,589017608,4003433125
Pounds of Materials Used,Grain Products,2011,3,Corn and corn products,61094976,589017608,628920326
Pounds of Materials Used,Grain Products,2011,3,Rice and rice products,62041512,589017608,747530033
Pounds of Materials Used,Grain Products,2011,3,Barley and barley products,11614373,589017608,110948162
Pounds of Materials Used,Grain Products,2011,3,Wheat and wheat products,5019351,589017608,23029222
Pounds of Materials Used,Non-Grain Products,2011,3,Sugar and syrups,74925793,589017608,770916505
Pounds of Materials Used,Non-Grain Products,2011,3,Hops (dry),10736471,589017608,106888010
Pounds of Materials Used,Non-Grain Products,2011,3,Hops (used as extracts),350949,589017608,3823534
Pounds of Materials Used,Grain Products,2011,4,Malt and malt products,349781343,546957810,4003433125
Pounds of Materials Used,Grain Products,2011,4,Corn and corn products,58628353,546957810,628920326
Pounds of Materials Used,Grain Products,2011,4,Rice and rice products,53392697,546957810,747530033
Pounds of Materials Used,Grain Products,2011,4,Barley and barley products,4768751,546957810,110948162
